,product_id,address,price,area,bedrooms_num,bathrooms_num
25828,39122347,"Tuy Phong, Bình Thuận",27000000000.0,9000.0,0,0
25829,40854379,"Quận 1, Hồ Chí Minh",550000000000.0,173.0,50,50
25830,42113591,"Tân Bình, Hồ Chí Minh",40000000000.0,180.0,0,0
25831,40834885,"Thuận An, Bình Dương",54000000000.0,5223.0,0,0
25832,42112994,"Thanh Trì, Hà Nội",1750000000.0,70.0,2,0
25833,41815747,"Tân Phú, Hồ Chí Minh",6600000000.0,94.0,3,3
25834,42113588,"Nhà Bè, Hồ Chí Minh",16899999999.999998,161.6,0,0
25835,42113588,"Nhà Bè, Hồ Chí Minh",16899999999.999998,161.6,0,0
25837,42046721,"Quận 2, Hồ Chí Minh",17200000000.0,75.0,0,0
25838,42113683,"Phan Thiết, Bình Thuận",3100000000.0,100.0,2,2
25839,42113582,"Quận 12, Hồ Chí Minh",7450000000.0,75.0,4,6
25841,42113673,"Cầu Giấy, Hà Nội",8100000000.0,93.0,3,2
25842,39543208,"Quận 8, Hồ Chí Minh",14000000000.0,82.0,8,8
25843,42113670,"Cầu Giấy, Hà Nội",6500000000.0,72.0,2,2
25844,39978577,"Quận 9, Hồ Chí Minh",32000000000.0,800.0,0,0
25846,36462997,"Bình Chánh, Hồ Chí Minh",13500000000.0,136.5,4,4
25847,42113668,"Cầu Giấy, Hà Nội",6600000000.0,72.0,2,2
25848,42036548,"Tân Bình, Hồ Chí Minh",18500000000.0,80.0,0,0
25849,42113664,"Cầu Giấy, Hà Nội",8900000000.0,112.0,3,2
25850,42025078,"Tân Bình, Hồ Chí Minh",25500000000.0,130.0,0,0
25851,42113657,"Hải Hậu, Nam Định",1000000000.0,105.0,0,0
25852,42113651,"Đồng Xoài, Bình Phước",2049999999.9999998,190.0,0,0
25853,41976908,"Hai Bà Trưng, Hà Nội",8300000000.000001,90.0,3,2
25855,41976908,"Hai Bà Trưng, Hà Nội",8300000000.000001,90.0,3,2
25857,39211540,"Bình Chánh, Hồ Chí Minh",9900000000.0,1322.0,0,0
25858,41807707,"Tân Bình, Hồ Chí Minh",80000000000.0,450.0,0,0
25859,42113575,"Hà Đông, Hà Nội",6000000000.0,107.0,3,2
25860,40488593,"Liên Chiểu, Đà Nẵng",1850000000.0,69.6,3,2
25861,39465397,"Bình Chánh, Hồ Chí Minh",33000000000.0,302.5,5,6
25862,41376142,"Quận 7, Hồ Chí Minh",10000000000.0,103.0,0,0
25863,39225144,"Bình Chánh, Hồ Chí Minh",3000000000.0,83.0,2,2
25864,31229898,"Thuận An, Bình Dương",3500000000.0,75.0,3,3
25865,40486942,"Bình Chánh, Hồ Chí Minh",3940000000.0,78.0,2,2
25866,42113642,"Bình Chánh, Hồ Chí Minh",4400000000.0,1000.0,0,0
25867,41725732,"Cầu Giấy, Hà Nội",8000000000.0,120.0,3,2
25868,41829359,"Ba Đình, Hà Nội",9100000000.0,66.0,4,3
25870,41565416,"Tân Phú, Hồ Chí Minh",8000000000.0,55.0,8,9
25871,38516480,"Thuận An, Bình Dương",820000000.0,41.0,1,1
25872,41296092,"Bình Thạnh, Hồ Chí Minh",13500000000.0,100.0,0,0
25873,42113665,"Bình Thạnh, Hồ Chí Minh",25000000000.0,290.0,0,0
